rsi_high,rsi_low,exit_rsi,capital_usage,stop_loss,return,trades,final_value
65,20,55,0.5,0.01,0.70866999999978,137,100708.66999999978
65,20,55,0.5,0.02,0.70866999999978,137,100708.66999999978
65,20,55,0.5,0.03,0.70866999999978,137,100708.66999999978
65,30,55,0.5,0.03,0.6897550000000338,169,100689.75500000003
65,30,55,0.5,0.02,0.6897550000000338,169,100689.75500000003
65,30,55,0.5,0.01,0.6897550000000338,169,100689.75500000003
70,30,55,0.7,0.03,0.6865949999998265,145,100686.59499999983
70,30,55,0.7,0.02,0.6865949999998265,145,100686.59499999983
70,30,55,0.7,0.01,0.6290099999997765,146,100629.00999999978
65,35,55,0.9,0.01,0.6196699999998673,193,100619.66999999987
65,25,45,0.9,0.03,0.5852950000002456,125,100585.29500000025
65,25,45,0.9,0.02,0.5852950000002456,125,100585.29500000025
70,35,55,0.9,0.03,0.5580449999999691,167,100558.04499999997
70,35,55,0.9,0.02,0.5580449999999691,167,100558.04499999997
65,35,55,0.7,0.02,0.5514749999998749,191,100551.47499999987
65,35,55,0.7,0.03,0.5514749999998749,191,100551.47499999987
70,20,55,0.5,0.02,0.5468700000001118,113,100546.87000000011
70,20,55,0.5,0.03,0.5468700000001118,113,100546.87000000011
70,20,55,0.5,0.01,0.5468700000001118,113,100546.87000000011
70,30,55,0.5,0.01,0.5306750000000612,145,100530.67500000006
70,30,55,0.5,0.03,0.5306750000000612,145,100530.67500000006
70,30,55,0.5,0.02,0.5306750000000612,145,100530.67500000006
70,35,55,0.7,0.01,0.5134499999998079,168,100513.44999999981
65,35,55,0.7,0.01,0.4803249999999098,192,100480.32499999991
65,25,45,0.7,0.02,0.464465000000011,125,100464.46500000001
65,25,45,0.7,0.03,0.464465000000011,125,100464.46500000001
70,35,55,0.9,0.01,0.4128499999999913,169,100412.84999999999
65,35,55,0.5,0.03,0.4042050000000163,191,100404.20500000002
65,35,55,0.5,0.01,0.4042050000000163,191,100404.20500000002
65,35,55,0.5,0.02,0.4042050000000163,191,100404.20500000002
70,35,55,0.7,0.02,0.4000199999997567,167,100400.01999999976
70,35,55,0.7,0.03,0.4000199999997567,167,100400.01999999976
70,25,45,0.7,0.01,0.3995500000000466,116,100399.55000000005
65,25,45,0.7,0.01,0.3618500000000786,129,100361.85000000008
65,25,45,0.9,0.01,0.35888500000009665,131,100358.8850000001
70,35,55,0.5,0.03,0.3267100000000064,167,100326.71
70,35,55,0.5,0.02,0.3267100000000064,167,100326.71
70,35,55,0.5,0.01,0.3267100000000064,167,100326.71
65,25,45,0.5,0.03,0.28770000000004076,125,100287.70000000004
65,25,45,0.5,0.02,0.28770000000004076,125,100287.70000000004
65,25,45,0.5,0.01,0.2801750000000175,126,100280.17500000002
65,30,45,0.7,0.02,0.2494149999999936,136,100249.415
65,30,45,0.7,0.03,0.2494149999999936,136,100249.415
70,25,45,0.9,0.02,0.23192000000014376,112,100231.92000000014
70,25,45,0.9,0.03,0.23192000000014376,112,100231.92000000014
65,25,50,0.9,0.03,0.2174999999998254,138,100217.49999999983
65,25,50,0.9,0.02,0.2174999999998254,138,100217.49999999983
70,30,45,0.7,0.01,0.20165999999977066,127,100201.65999999977
70,25,45,0.7,0.03,0.19088499999995112,112,100190.88499999995
70,25,45,0.7,0.02,0.19088499999995112,112,100190.88499999995
65,30,45,0.9,0.02,0.1817850000001781,136,100181.78500000018
65,30,45,0.9,0.03,0.1817850000001781,136,100181.78500000018
70,25,45,0.5,0.02,0.1781050000000978,112,100178.1050000001
70,25,45,0.5,0.03,0.1781050000000978,112,100178.1050000001
65,30,45,0.5,0.03,0.1496100000000297,136,100149.61000000003
